,Year,Type,County,Ag District,Ag District Code,ACRES HARVESTED,ACRES PLANTED,"ACRES PLANTED, NET","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","YIELD, MEASURED IN BU / NET PLANTED ACRE"
282,2001,"WHEAT, WINTER",RANSOM,SOUTHEAST,90,2200.0,3500.0,3500.0,97000.0,44.1,27.7
283,2001,"WHEAT, WINTER",RENVILLE,NORTHWEST,10,1100.0,2000.0,2000.0,30000.0,27.3,15.0
284,2001,"WHEAT, WINTER",ROLETTE,NORTH CENTRAL,20,3000.0,5500.0,5500.0,151000.0,50.3,27.5
285,2001,"WHEAT, WINTER",SARGENT,SOUTHEAST,90,2000.0,3100.0,3100.0,118000.0,59.0,38.1
286,2001,"WHEAT, WINTER",SIOUX,SOUTH CENTRAL,80,2400.0,6000.0,6000.0,62000.0,25.8,10.3
287,2001,"WHEAT, WINTER",STARK,SOUTHWEST,70,600.0,1000.0,1000.0,23000.0,38.3,23.0
288,2001,"WHEAT, WINTER",STUTSMAN,CENTRAL,50,10100.0,16500.0,16500.0,373000.0,36.9,22.6
289,2001,"WHEAT, WINTER",TOWNER,NORTHEAST,30,3200.0,5500.0,5500.0,166000.0,51.9,30.2
290,2001,"WHEAT, WINTER",WALSH,NORTHEAST,30,500.0,1100.0,1100.0,20000.0,40.0,18.2
291,2001,"WHEAT, WINTER",WARD,NORTHWEST,10,1000.0,1400.0,1400.0,35000.0,35.0,25.0
292,2001,"WHEAT, WINTER",WELLS,CENTRAL,50,500.0,700.0,700.0,19000.0,38.0,27.1
293,2002,"WHEAT, SPRING, (EXCL DURUM)",ADAMS,SOUTHWEST,70,68000.0,125000.0,,860000.0,12.6,
294,2002,"WHEAT, SPRING, (EXCL DURUM)",BARNES,EAST CENTRAL,60,229000.0,245000.0,,7430000.0,32.4,
295,2002,"WHEAT, SPRING, (EXCL DURUM)",BENSON,NORTH CENTRAL,20,131000.0,145000.0,,3035000.0,23.2,
296,2002,"WHEAT, SPRING, (EXCL DURUM)",BILLINGS,SOUTHWEST,70,13000.0,16000.0,,200000.0,15.4,
297,2002,"WHEAT, SPRING, (EXCL DURUM)",BOTTINEAU,NORTH CENTRAL,20,150000.0,160000.0,,4330000.0,28.9,
298,2002,"WHEAT, SPRING, (EXCL DURUM)",BOWMAN,SOUTHWEST,70,42000.0,72000.0,,570000.0,13.6,
299,2002,"WHEAT, SPRING, (EXCL DURUM)",BURKE,NORTHWEST,10,62500.0,71000.0,,1690000.0,27.0,
300,2002,"WHEAT, SPRING, (EXCL DURUM)",BURLEIGH,SOUTH CENTRAL,80,80000.0,105000.0,,1440000.0,18.0,
301,2002,"WHEAT, SPRING, (EXCL DURUM)",CASS,EAST CENTRAL,60,260000.0,280000.0,,10540000.0,40.5,
302,2002,"WHEAT, SPRING, (EXCL DURUM)",CAVALIER,NORTHEAST,30,322000.0,350000.0,,11220000.0,34.8,
303,2002,"WHEAT, SPRING, (EXCL DURUM)",DICKEY,SOUTHEAST,90,77000.0,85000.0,,2070000.0,26.9,
304,2002,"WHEAT, SPRING, (EXCL DURUM)",DIVIDE,NORTHWEST,10,8500.0,9000.0,,225000.0,26.5,
305,2002,"WHEAT, SPRING, (EXCL DURUM)",DUNN,WEST CENTRAL,40,123000.0,137000.0,,3065000.0,24.9,
306,2002,"WHEAT, SPRING, (EXCL DURUM)",EDDY,CENTRAL,50,48000.0,50000.0,,1165000.0,24.3,
307,2002,"WHEAT, SPRING, (EXCL DURUM)",EMMONS,SOUTH CENTRAL,80,48000.0,125000.0,,408000.0,8.5,
308,2002,"WHEAT, SPRING, (EXCL DURUM)",FOSTER,CENTRAL,50,79000.0,90000.0,,1890000.0,23.9,
309,2002,"WHEAT, SPRING, (EXCL DURUM)",GOLDEN VALLEY,SOUTHWEST,70,31000.0,36000.0,,620000.0,20.0,
310,2002,"WHEAT, SPRING, (EXCL DURUM)",GRAND FORKS,NORTHEAST,30,224000.0,250000.0,,7630000.0,34.1,
311,2002,"WHEAT, SPRING, (EXCL DURUM)",GRANT,SOUTH CENTRAL,80,71000.0,125000.0,,935000.0,13.2,
